"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"40","king",-0.809,"ping","thing","zing",23,"k","HF","voiceless","velar","stop","P","TH","Z","Place","2Features","3Features","Stop","Stop","Fricative","Fricative","K","P","TH","Z",-0.821,-0.422,0,1,0,2
"41","kneel",0.179,"meal","veal","feel",19,"n","HF","voiced","alveolar","nasal","M","V","F","Place","2Features","3Features","Sonorant","Sonorant","Fricative","Fricative","N","M","V","F",0.226,-0.703,0,1,0,2
"42","lash",0.876,"bash","dash","gash",3,"l","LF","voiced","alveolar","liquid","B","D","G","2Features","Manner","2Features","Sonorant","Stop","Stop","Stop","L","B","D","G",0.962,0.631,0,0,1,2
"43","lead",-0.955,"mead","weed","need",24,"l","HF","voiced","alveolar","liquid","M","W","N","2Features","Place","Manner","Sonorant","Sonorant","Sonorant","Sonorant","L","M","W","N",-0.954,-0.944,0,1,1,1
"44","led",0.628,"said","dead","red",18,"l","LF","voiced","alveolar","liquid","S","D","R","2Features","Manner","Place","Sonorant","Fricative","Stop","Sonorant","L","S","D","R",0.571,0.222,0,1,1,1
"45","lip",0.183,"zip","yip","rip",25,"l","HF","voiced","alveolar","liquid","Z","J","R","Manner","Place","Place","Sonorant","Fricative","Sonorant","Sonorant","L","Z","Y","R",0.04,0.064,0,2,1,0
"46","lit",-0.828,"sit","zit","mitt",26,"l","HF","voiced","alveolar","liquid","S","Z","M","2Features","Manner","2Features","Sonorant","Fricative","Fricative","Sonorant","L","S","Z","M",-0.682,-0.669,0,0,1,2
"47","lock",-0.215,"rock","mock","wok",27,"l","LB","voiced","alveolar","liquid","R","M","W","Place","2Features","Place","Sonorant","Sonorant","Sonorant","Sonorant","L","R","M","W",-0.225,-1.093,0,2,0,1
"48","look",-0.759,"took","cook","rook",15,"l","HB","voiced","alveolar","liquid","T","K","R","2Features","3Features","Place","Sonorant","Stop","Stop","Sonorant","L","T","K","R",-0.627,-0.646,0,1,0,2
"49","lot",1.031,"watt","rot","yacht",28,"l","LB","voiced","alveolar","liquid","W","R","J","Place","Place","Place","Sonorant","Sonorant","Sonorant","Sonorant","L","W","R","Y",0.877,0.034,0,3,0,0
"50","man",0.89,"ban","van","than",2,"m","LF","voiced","bilabial","nasal","B","V","DH","Manner","Manner","2Features","Sonorant","Stop","Fricative","Fricative","M","N","V","DH",0.753,0.307,0,0,2,1
"51","match",0.199,"patch","latch","batch",4,"m","LF","voiced","bilabial","nasal","P","L","B","2Features","2Features","Manner","Sonorant","Stop","Sonorant","Stop","M","P","L","B",0.192,-0.271,0,0,1,2
"52","mead",-0.268,"lead","weed","need",24,"m","HF","voiced","bilabial","nasal","L","W","N","2Features","Manner","Place","Sonorant","Sonorant","Sonorant","Sonorant","M","L","W","N",-0.361,-0.446,0,1,1,1
"53","meal",-0.195,"kneel","veal","feel",19,"m","HF","voiced","bilabial","nasal","N","V","F","Place","Manner","3Features","Sonorant","Sonorant","Fricative","Fricative","M","N","V","F",-0.288,-0.373,0,1,1,1
"54","mitt",-0.173,"sit","zit","lit",26,"m","HF","voiced","bilabial","nasal","S","Z","L","3Features","2Features","2Features","Sonorant","Fricative","Fricative","Sonorant","M","S","Z","L",0.012,-0.068,0,0,0,3
"55","mock",-0.456,"lock","rock","wok",27,"m","LB","voiced","bilabial","nasal","L","R","W","2Features","2Features","Manner","Sonorant","Sonorant","Sonorant","Sonorant","M","L","R","W",-0.403,-1.376,0,0,1,2
"56","moon",-0.047,"boon","dune","noon",9,"m","HB","voiced","bilabial","nasal","B","D","N","Manner","2Features","Place","Sonorant","Stop","Stop","Sonorant","M","B","D","N",-0.142,-0.258,0,1,1,1
"57","more",0.019,"pour","tore","shore",29,"m","LB","voiced","bilabial","nasal","P","T","SH","2Features","3Features","3Features","Sonorant","Stop","Stop","Fricative","M","P","T","SH",0.206,-0.759,0,0,0,3
"58","nab",-0.168,"dab","fab","gab",17,"n","LF","voiced","alveolar","nasal","D","F","G","Manner","3Features","2Features","Sonorant","Stop","Fricative","Stop","N","D","F","G",-0.17,-1.491,0,0,1,2
"59","need",-0.558,"lead","mead","weed",24,"n","HF","voiced","alveolar","nasal","L","M","W","Manner","Place","2Features","Sonorant","Sonorant","Sonorant","Sonorant","N","L","M","W",-0.646,-1.587,0,1,1,1
